Data/Hora,Protocolo,IP Origem,IP Destino,Protocolo Superior,Tamanho
2025-11-17 18:05:26,IPv4,10.115.240.133,172.217.30.46,6,91
2025-11-17 18:05:26,IPv4,10.115.240.133,172.217.30.46,6,76
2025-11-17 18:05:26,IPv4,10.115.240.133,172.217.30.46,6,52
2025-11-17 18:05:26,IPv4,172.217.30.46,10.115.240.133,6,52
2025-11-17 18:05:26,IPv4,172.217.30.46,10.115.240.133,6,52
2025-11-17 18:05:26,IPv4,10.115.240.133,172.217.30.46,6,52
2025-11-17 18:05:29,IPv4,57.144.179.32,10.115.240.133,6,281
2025-11-17 18:05:29,IPv4,10.115.240.133,57.144.179.32,6,52
2025-11-17 18:05:29,IPv4,10.115.240.133,57.144.179.32,6,126
2025-11-17 18:05:29,IPv4,57.144.179.32,10.115.240.133,6,52
2025-11-17 18:05:31,IPv4,10.115.240.133,57.144.179.32,6,122
2025-11-17 18:05:31,IPv4,57.144.179.32,10.115.240.133,6,52
2025-11-17 18:05:31,IPv4,57.144.179.32,10.115.240.133,6,182
2025-11-17 18:05:31,IPv4,10.115.240.133,57.144.179.32,6,52
2025-11-17 18:05:31,IPv4,57.144.179.32,10.115.240.133,6,124
2025-11-17 18:05:31,IPv4,10.115.240.133,57.144.179.32,6,52
2025-11-17 18:05:32,IPv4,10.115.240.133,57.144.179.32,6,125
2025-11-17 18:05:32,IPv4,57.144.179.32,10.115.240.133,6,52
2025-11-17 18:05:33,IPv4,57.144.179.32,10.115.240.133,6,278
2025-11-17 18:05:33,IPv4,10.115.240.133,57.144.179.32,6,52
2025-11-17 18:05:34,IPv4,10.115.240.133,57.144.179.32,6,126
2025-11-17 18:05:34,IPv4,57.144.179.32,10.115.240.133,6,52
2025-11-17 18:05:34,IPv4,172.217.172.42,10.115.240.133,17,151
2025-11-17 18:05:34,IPv4,10.115.240.133,172.217.172.42,17,60
2025-11-17 18:05:36,IPv4,10.115.240.133,40.71.11.167,6,52
2025-11-17 18:05:36,IPv4,40.71.11.167,10.115.240.133,6,52
2025-11-17 18:05:39,IPv4,10.115.240.133,52.168.117.171,6,52
2025-11-17 18:05:39,IPv4,52.168.117.171,10.115.240.133,6,52
2025-11-17 18:05:41,IPv4,162.159.134.234,10.115.240.133,6,94
2025-11-17 18:05:41,IPv4,10.115.240.133,162.159.134.234,6,52
2025-11-17 18:05:41,IPv4,162.159.134.234,10.115.240.133,6,94
2025-11-17 18:05:41,IPv4,10.115.240.133,162.159.134.234,6,52
2025-11-17 18:05:45,IPv4,172.217.172.42,10.115.240.133,17,151
2025-11-17 18:05:45,IPv4,10.115.240.133,172.217.172.42,17,60
2025-11-17 18:05:47,IPv4,10.115.240.133,142.250.219.206,6,91
2025-11-17 18:05:47,IPv4,142.250.219.206,10.115.240.133,6,52
2025-11-17 18:05:47,IPv4,142.250.219.206,10.115.240.133,6,91
2025-11-17 18:05:47,IPv4,10.115.240.133,142.250.219.206,6,52
2025-11-17 18:05:48,IPv4,10.115.240.133,162.159.134.234,6,170
2025-11-17 18:05:48,IPv4,162.159.134.234,10.115.240.133,6,52
2025-11-17 18:05:49,IPv4,162.159.134.234,10.115.240.133,6,86
