Data/Hora,Protocolo,IP Origem,Porta Origem,IP Destino,Porta Destino,Tamanho
2025-11-20 18:44:01,TCP,172.31.66.101,59632,151.101.250.132,80,60
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,44
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,194
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,40
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,12345,172.31.66.101,8224,1468
2025-11-20 18:44:02,TCP,151.101.250.132,25188,172.31.66.101,14388,1468
2025-11-20 18:44:02,TCP,151.101.250.132,20577,172.31.66.101,25451,1468
2025-11-20 18:44:02,TCP,151.101.250.132,12112,172.31.66.101,24931,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,13872,172.31.66.101,14389,1468
2025-11-20 18:44:02,TCP,151.101.250.132,14389,172.31.66.101,24884,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,12597,172.31.66.101,24880,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,26991,172.31.66.101,28205,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,25193,172.31.66.101,28257,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,28205,172.31.66.101,26990,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,13361,172.31.66.101,24885,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,14130,172.31.66.101,13364,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,14385,172.31.66.101,24880,1468
2025-11-20 18:44:02,TCP,151.101.250.132,80,172.31.66.101,59632,1468
2025-11-20 18:44:02,TCP,151.101.250.132,14436,172.31.66.101,13622,1468
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
2025-11-20 18:44:02,TCP,172.31.66.101,59632,151.101.250.132,80,40
